year,ward_name,registered_voters_total,ballots_cast_total
2020,City of Milwaukee Ward 276 ,1431,1302
2020,City of Milwaukee Ward 277 ,1520,1321
2020,City of Milwaukee Ward 278 ,838,742
2020,City of Milwaukee Ward 279 ,1172,1045
2020,City of Milwaukee Ward 280 ,1911,1634
2020,City of Milwaukee Ward 281 ,891,751
2020,City of Milwaukee Ward 282 ,475,389
2020,City of Milwaukee Ward 283 ,914,738
2020,City of Milwaukee Ward 284 ,892,703
2020,City of Milwaukee Ward 285 ,221,178
2020,City of Milwaukee Ward 286 ,538,423
2020,City of Milwaukee Ward 287 ,562,484
2020,City of Milwaukee Ward 288 ,1264,1078
2020,City of Milwaukee Ward 289 ,780,640
2020,City of Milwaukee Ward 290 ,699,556
2020,City of Milwaukee Ward 291 ,668,530
2020,City of Milwaukee Ward 292 ,747,632
2020,City of Milwaukee Ward 293 ,903,792
2020,City of Milwaukee Ward 294 ,696,623
2020,City of Milwaukee Ward 295 ,890,751
2020,City of Milwaukee Ward 296 ,1098,984
2020,City of Milwaukee Ward 297 ,993,850
2020,City of Milwaukee Ward 298 ,827,724
2020,City of Milwaukee Ward 299 ,1029,923
2020,City of Milwaukee Ward 300 ,1388,1218
2020,City of Milwaukee Ward 301 ,1314,1156
2020,City of Milwaukee Ward 302 ,906,793
2020,City of Milwaukee Ward 303 ,1316,1173
2020,City of Milwaukee Ward 304 ,1089,931
2020,City of Milwaukee Ward 305 ,1101,936
2020,City of Milwaukee Ward 306 ,891,703
2020,City of Milwaukee Ward 307 ,910,802
2020,City of Milwaukee Ward 308 ,942,753
2020,City of Milwaukee Ward 309 ,1298,1116
2020,City of Milwaukee Ward 310 ,448,358
2020,City of Milwaukee Ward 311 ,785,663
2020,City of Milwaukee Ward 312 ,1029,951
2020,City of Milwaukee Ward 313 ,2034,1747
2020,City of Milwaukee Ward 314 ,769,681
2020,City of Milwaukee Ward 315 ,1510,919
2020,City of Milwaukee Ward 316 ,865,751
2020,City of Milwaukee Ward 317 ,1019,906
2020,City of Milwaukee Ward 318 ,0,0
2020,City of Milwaukee Ward 319 ,0,0
2020,City of Milwaukee Ward 320 ,59,41
2020,City of Milwaukee Ward 321 ,296,206
2020,City of Milwaukee Ward 322 ,166,123
2020,City of Milwaukee Ward 323 ,363,262
2020,City of Milwaukee Ward 324 ,175,111
2020,City of Milwaukee Ward 325 ,477,381
2020,City of Milwaukee Ward 326 ,4,5
2020,City of Milwaukee Ward 327 ,0,0
2020,"Village of Bayside Wards 1,3  ",1194,1057
2020,"Village of Bayside Wards 1S,3S ",73,72
2020,"Village of Bayside Wards 2,4  ",1393,1263
2020,Village of Bayside Ward 5 ,769,712
2020,"V. Brown Deer Wards 1,2 ",2807,2498
2020,"V. Brown Deer Wards 3,4 ",2731,2495
2020,"V. Brown Deer Wards 5,6 ",2737,2483
2020,"City of Cudahy Wards 1,2,3 ",2300,1991
2020,"City of Cudahy Wards 4,5,6 ",2092,1821
2020,"City of Cudahy Wards 7,8,9 ",1914,1600
2020,"City of Cudahy Wards 10,11,12  ",2237,1926
2020,"City of Cudahy Wards 13,14,15  ",2509,2193
2020,"V. Fox Point Wards 1,2,3,4 ",2413,2210
2020,"V. Fox Point Wards 5,6,7,8,9  ",3021,2793
2020,City of Franklin Ward 1 ,2,1
2020,City of Franklin Ward 2 ,1616,1537
2020,City of Franklin Ward 3 ,1715,1603
2020,City of Franklin Ward 4 ,892,799
2020,City of Franklin Ward 5 ,692,661
2020,City of Franklin Ward 6 ,1186,1098
2020,City of Franklin Ward 7 ,1499,1439
2020,City of Franklin Ward 8 ,1051,1007
2020,City of Franklin Ward 9 ,1084,1005
2020,City of Franklin Ward 10 ,472,447
2020,City of Franklin Ward 11 ,1305,1212
2020,City of Franklin Ward 12 ,943,851
2020,City of Franklin Ward 13 ,1275,1205
2020,City of Franklin Ward 14 ,1117,1035
2020,City of Franklin Ward 15A ,621,543
2020,City of Franklin Ward 15B ,430,391
2020,City of Franklin Ward 16 ,1337,1244
2020,City of Franklin Ward 17 ,809,759
2020,City of Franklin Ward 18 ,498,472
2020,City of Franklin Ward 19 ,1371,1281
2020,City of Franklin Ward 20 ,714,677
2020,City of Franklin Ward 21 ,352,312
2020,City of Franklin Ward 22A ,759,718
2020,City of Franklin Ward 22B ,702,680
2020,City of Franklin Ward 23 ,1339,1279
2020,"City of Glendale Wards 1,7 ",1473,1368
2020,"City of Glendale Wards 2,8S ",1038,937
2020,City of Glendale Ward 8 ,571,532
2020,"City of Glendale Wards 3,9 ",1688,1550
2020,"City of Glendale Wards 4,10 ",1789,1661
2020,"City of Glendale Wards 5,11 (D ",1437,1316
2020,City of Glendale Ward 11S (Dis ,334,279
2020,"City of Glendale Wards 6,12 ",1285,1156
2020,"V. Greendale Wards 1,2 ",1894,1768
